# concept_id	lang	definition	source
start-device	zh	英国Culham的小型紧凑纵横比托卡马克，首个验证高β_t(>40%)的ST装置。	internal:dict-improvements
step	en	UK STEP (Spherical Tokamak for Energy Production), prototype fusion power plant targeting net electricity by 2040s.	internal:dict-improvements
step	zh	英国STEP（用于产能的球形托卡马克），目标2040年代示范净电的原型聚变电厂。	internal:dict-improvements
switchgear	en	Combination of circuit breakers, disconnectors and busbars for protection and isolation of electrical equipment.	internal:dict-improvements
switchgear	zh	由断路器、隔离开关与母线组成、用于电气设备保护与隔离的开关装置。	internal:dict-improvements
thermoluminescent-dosimeter	en	TLD, integrating dosimeter using LiF or CaF2 crystals re-emitting light proportional to absorbed dose on heating.	internal:dict-improvements
thermoluminescent-dosimeter	zh	TLD，使用LiF或CaF2晶体，加热时发光强度与吸收剂量成正比的累积式剂量计。	internal:dict-improvements
torsatron	en	Stellarator variant with continuous helical winding carrying current in same direction; no separate poloidal field coils.	internal:dict-improvements
torsatron	zh	仿星器变体，连续螺旋绕组中电流方向一致，无单独极向场线圈。	internal:dict-improvements
transfer-cask	en	Shielded container transporting activated components between in-vessel position and hot cell.	internal:dict-improvements
transfer-cask	zh	在真空室内位置与热室间转运活化部件的屏蔽容器。	internal:dict-improvements
transformer	en	Magnetic device transferring electrical energy between circuits via mutual induction; central solenoid acts as ohmic transformer in tokamaks.	internal:dict-improvements
transformer	zh	通过互感在电路间传递电能的磁性装置；托卡马克中央螺线管充当欧姆变压器。	internal:dict-improvements
turbomolecular-pump	en	High-vacuum pump using bladed rotor at ~30 kRPM imparting momentum to gas molecules.	internal:dict-improvements
turbomolecular-pump	zh	以约30 kRPM叶片转子向气体分子赋予动量的高真空泵。	internal:dict-improvements
uninterruptible-power-supply	en	UPS, battery-backed inverter providing seamless power to critical loads during grid disturbance.	internal:dict-improvements
uninterruptible-power-supply	zh	UPS，电池支持的逆变器，在电网扰动时为关键负载提供无缝供电。	internal:dict-improvements
w7-as	en	Wendelstein 7-AS, modular stellarator at IPP Garching (1988-2002), predecessor of W7-X.	internal:dict-improvements
w7-as	zh	德国IPP Garching的W7-AS模块化仿星器（1988-2002），W7-X的前身。	internal:dict-improvements
wendelstein-7x	en	W7-X, IPP Greifswald optimized stellarator with superconducting modular coils, R=5.5 m.	internal:dict-improvements
wendelstein-7x	zh	德国IPP Greifswald的优化仿星器，采用超导模块线圈，R=5.5 m（W7-X）。	internal:dict-improvements
wham	en	Wisconsin HTS Axisymmetric Mirror, prototype HTS mirror device targeting high-mirror-ratio compact fusion path.	internal:dict-improvements
wham	zh	威斯康星高温超导轴对称磁镜原型，目标高磁镜比的紧凑聚变路线（WHAM）。	internal:dict-improvements
z-machine	en	Sandia pulsed-power facility delivering ~25 MA to wire-array Z-pinch targets for ICF and HEDP.	internal:dict-improvements
z-machine	zh	桑迪亚国家实验室脉冲功率装置，向丝阵Z箍缩靶输送约25 MA电流，用于ICF与HEDP。	internal:dict-improvements
blanket-module	en	Modular replaceable unit of breeding blanket housing breeder, multiplier, structural walls and coolant channels.	internal:dict-improvements
divertor-target	en	Plasma-facing tile assembly receiving exhaust power flux at strike points; tungsten monoblock or CFC armor on Cu heat sink.	internal:dict-improvements
faraday-screen	en	Slotted conducting screen on ICRF antenna shielding plasma from electrostatic fields while transmitting RF magnetic field.	internal:dict-improvements
tritium-plant	en	Integrated facility processing tritium streams: storage, isotope separation, fueling, exhaust detritiation, and accountancy.	internal:dict-improvements
equatorial-port	zh	赤道窗口，位于真空室赤道平面的大型穿件，用于辅助加热、诊断与遥操作维护。	internal:dict-improvements
activation-foil	en	Thin metal foil exposed to neutron flux; γ-counted post-irradiation to infer flux via known (n,γ) cross section.	internal:dict-improvements
activation-foil	zh	置于中子场中的薄金属箔，辐照后通过γ计数与已知(n,γ)截面反推中子通量。	internal:dict-improvements
actively-cooled-component	en	Component with internal coolant channels removing heat continuously during plasma operation.	internal:dict-improvements
actively-cooled-component	zh	内部带冷却剂通道，在等离子体放电期间连续散热的部件。	internal:dict-improvements
armor-tile	en	Plasma-facing tile (W, Be, CFC) protecting structural materials from particle and heat fluxes.	internal:dict-improvements
armor-tile	zh	面向等离子体的瓦片（W、Be、CFC），保护结构材料免受粒子与热流冲击。	internal:dict-improvements
articulated-boom	en	Multi-jointed remote-handling arm deployed through equatorial port for in-vessel maintenance.	internal:dict-improvements
articulated-boom	zh	通过赤道窗口部署的多关节遥操作机械臂，用于真空室内维护作业。	internal:dict-improvements
atmosphere-detritiation-system	en	Building HVAC subsystem capturing tritium from room air via catalytic oxidation and water absorption.	internal:dict-improvements
atmosphere-detritiation-system	zh	厂房暖通子系统，通过催化氧化与水吸收捕获室内空气中的氚。	internal:dict-improvements
back-plate	en	Structural plate supporting the first wall and breeding zone, transmitting electromagnetic loads to vessel.	internal:dict-improvements
back-plate	zh	支撑第一壁与增殖区的结构板，将电磁载荷传递至真空室。	internal:dict-improvements
baffle	en	Structural plate guiding plasma neutrals or coolant flow; in divertor, separates SOL from private region.	internal:dict-improvements
baffle	zh	引导等离子体中性粒子或冷却剂流动的结构板，偏滤器中分隔SOL与私有区。	internal:dict-improvements
beryllium-multiplier	en	Layer of beryllium pebbles or blocks in breeding blanket producing 2 neutrons per absorbed neutron via (n,2n).	internal:dict-improvements
beryllium-multiplier	zh	增殖包层中铍小球或块层，通过(n,2n)反应一吸一双产中子倍增。	internal:dict-improvements
braze-joint	en	Metallurgical joint formed by melting filler metal between mating surfaces at brazing temperature.	internal:dict-improvements
braze-joint	zh	在钎焊温度下熔化填料金属在接合面间形成的冶金接头。	internal:dict-improvements
breeder-tritium-extraction-system	en	BTES, processes purge gas removing T from solid-breeder pebble beds (e.g., He+H2 sweep).	internal:dict-improvements
breeder-tritium-extraction-system	zh	BTES，处理吹扫气以从固态增殖剂小球床抽出氚（如He+H2吹扫）。	internal:dict-improvements
breeding-zone	en	Region of blanket containing lithium-bearing material where T is bred via (n,T) reactions on Li-6/Li-7.	internal:dict-improvements
breeding-zone	zh	包层中含锂材料的区域，通过Li-6/Li-7的(n,T)反应增殖氚。	internal:dict-improvements
cask-system	en	Family of shielded transport casks with docking interfaces, used for routine remote handling of activated parts.	internal:dict-improvements
cask-system	zh	带对接接口的屏蔽转运容器系列，用于活化部件常规远程操作。	internal:dict-improvements
center-column	en	Central structural assembly of spherical tokamak housing inner TF coil legs and central solenoid.	internal:dict-improvements
center-column	zh	球形托卡马克的中心结构总成，容纳TF线圈内腿与中央螺线管。	internal:dict-improvements
central-interlock-system	en	Hardwired logic system enforcing safety preconditions before enabling high-power systems (e.g., NBI, ECRH).	internal:dict-improvements
central-interlock-system	zh	硬接线逻辑系统，在启用高功率系统（如NBI、ECRH）前强制执行安全前置条件。	internal:dict-improvements
chilled-water-system	en	Plant utility supplying ~7 °C water to HVAC and equipment cooling loops via central refrigeration.	internal:dict-improvements
chilled-water-system	zh	由中央制冷向暖通与设备冷却回路供给约7 °C冷冻水的厂区公用系统。	internal:dict-improvements
closed-divertor	en	Divertor geometry with baffles and dome enclosing strike points to enhance neutral compression and pumping.	internal:dict-improvements
closed-divertor	zh	带挡板与穹顶将打击点封闭以提升中性气体压缩与抽气效率的偏滤器位形。	internal:dict-improvements
coaxial-plasma-gun	en	Coaxial accelerator producing magnetized plasmoids via J×B force; used for spheromak/CT formation.	internal:dict-improvements
coaxial-plasma-gun	zh	通过J×B力产生磁化等离子体团的同轴加速器，用于球马克/CT形成。	internal:dict-improvements
codac	en	ITER-style supervisory architecture handling control, data acquisition, and inter-system communication.	internal:dict-improvements
codac	zh	ITER风格的监控架构，处理控制、数据采集与系统间通信。	internal:dict-improvements
component-cooling-water-system	en	CCWS, intermediate cooling loop transferring heat from process loads to ultimate heat sink.	internal:dict-improvements
component-cooling-water-system	zh	CCWS，中间冷却回路，将工艺负载热量传递至最终热阱。	internal:dict-improvements
confinement-ventilation	en	HVAC subsystem maintaining cascading negative pressure between confinement zones with HEPA-filtered exhaust.	internal:dict-improvements
confinement-ventilation	zh	在限制区间维持递进负压、排风经HEPA过滤的暖通子系统。	internal:dict-improvements
coolant-loop	en	Closed circulation circuit with pump, heat exchanger, and tank transferring heat from blanket/divertor.	internal:dict-improvements
coolant-loop	zh	带泵、换热器与水箱的闭合循环回路，从包层/偏滤器带走热量。	internal:dict-improvements
